E.Sample_D ,E.Aprox_D,E.Fuzzy_D,F.Corre_D,E.Shannon_D,F.DFA_D,y
1.087357529,1.897101239,1.576608932,0.638793413,0.915220709,0.348932541,0
1.874402353,1.716776489,1.770503299,0.004843587,7.786614128,0.032642552,1
1.503574284,1.202606983,1.935701539,0.184453848,3.728397945,0.572448667,0
1.216016814,1.236777934,1.577265903,0.182923133,2.513280604,0.292643281,0
1.415588471,1.006089732,1.865518664,0.63900586,3.691023465,0.701779416,0
1.186515103,1.439834188,1.263161341,0.047167282,4.287796201,0.326110198,0
1.705629666,1.69383941,1.931013332,0.888239197,11.32499645,0.953288593,1
1.531828735,1.415620035,1.193847473,0.121012403,9.100990811,0.553697385,0
1.341101076,1.235350685,1.490988663,0.797147907,0.249710402,0.679354129,0
1.665932603,1.195748317,1.005418512,0.529909628,5.308428146,0.465453243,1
1.008664074,1.600756309,1.243896713,0.054050969,2.063189803,0.987650718,0
1.776920723,1.079014699,1.10091541,0.944743094,0.256471686,0.421401717,1
1.884335081,1.743041604,1.077703453,0.683590446,2.77212793,0.89468632,1
1.853951142,1.783285734,1.576115267,0.967263382,9.494854993,0.890593169,1
1.35131248,1.187248894,1.913570002,0.163482743,2.650657375,0.445879587,0
1.720009609,1.9999095,1.805058036,0.858987945,4.709351657,0.581350276,1
1.525250168,1.216388929,1.253075356,0.763783615,8.134539685,0.263306201,0
1.612341827,1.929157983,1.075839647,0.963864075,9.737036776,0.753810898,1
1.946400035,1.684358676,1.772408982,0.218195512,6.882688542,0.935650812,1
1.80610368,1.157983687,1.90961093,0.666567984,8.696329975,0.115070769,1
1.144336841,1.730310353,1.396298098,0.701075376,11.2343113,0.058416805,0
1.527051932,1.568646132,1.436023127,0.163394908,0.55701849,0.906734091,0
1.551591557,1.761116507,1.815232304,0.48472139,10.30601539,0.608148286,0
1.125567328,1.482774398,1.027626537,0.434400088,0.252063358,0.368198632,0
1.894400803,1.996474832,1.815106371,0.690131373,6.229594074,0.713111738,1
1.662093415,1.15218901,1.868001666,0.998866512,10.71122046,0.235761755,1
1.200939576,1.768607036,1.190411583,0.33506502,8.462940761,0.409115163,0
1.338968635,1.430535017,1.965184376,0.930522031,4.746489411,0.453172247,0
1.42517306,1.393528091,1.015050359,0.335856189,7.496723121,0.619253041,0
1.198168624,1.784450002,1.077175227,0.82312769,11.59525881,0.427945815,0
1.063941199,1.90677243,1.618290139,0.845856586,3.884128884,0.508617551,0
1.802599014,1.030141267,1.621502133,0.78568385,5.050068756,0.149838595,1
1.735271984,1.07732852,1.831296517,0.916613156,5.468223299,0.830413884,1
1.807678784,1.392977316,1.655644106,0.042712065,1.321812785,0.35317317,1
1.506392191,1.800206601,1.976723433,0.524737176,8.33012517,0.320821496,0
1.769396442,1.758998647,1.519663474,0.308450644,3.122904069,0.797895872,1
1.338926164,1.35840637,1.167759955,0.257980731,6.757687587,0.959183164,0
1.969157115,1.123717748,1.559691507,0.912594118,6.520746006,0.961738302,1
1.33920435,1.377150642,1.299130086,0.716791779,10.99614515,0.635778005,0
1.441318321,1.136539772,1.680141864,0.793376646,6.311821614,0.464217388,0
1.207645133,1.736993639,1.712236225,0.17609735,1.470743583,0.385164551,0
1.081394667,1.591872065,1.274492124,0.023785674,3.522384173,0.665856037,0
1.02026814,1.700569079,1.539006809,0.68186419,1.477113938,0.487395143,0
1.781117432,1.275195564,1.209029496,0.730990317,8.872956081,0.045718457,1
1.355498088,1.612804239,1.720113714,0.774340248,2.597890181,0.817599362,0
1.510307887,1.243827064,1.777672134,0.96055642,6.950772606,0.536371109,0
1.011736001,1.288682021,1.191728581,0.257994484,2.382359057,0.303389136,0
1.765790672,1.188699675,1.410487936,0.952532446,2.486951952,0.218545548,1
1.506500415,1.25012455,1.588956062,0.738375636,11.51242286,0.141931196,0
1.348649857,1.666761657,1.729125911,0.395830693,10.88379936,0.380074978,0
1.088439748,1.803997568,1.74322794,0.841692254,6.054990973,0.477504676,0
1.214542269,1.381476789,1.712454362,0.69094436,3.249610999,0.66972495,0
1.684811747,1.132373964,1.482297984,0.312358388,8.586548561,0.448811474,1
1.533041767,1.13526868,1.860861449,0.920212062,4.657944089,0.579861443,0
1.404509935,1.703473997,1.743043391,0.826216539,2.449591242,0.240665388,0
1.056167772,1.478018111,1.678593696,0.520273264,0.974798894,0.190030051,0
1.538770529,1.968574451,1.741643666,0.96746455,8.475897247,0.91675514,0
1.82353323,1.235350614,1.111125794,0.815941446,8.845915836,0.034501949,1
1.747436584,1.27266348,1.356615913,0.415460952,2.435329341,0.3048383,1
1.473214488,1.409623352,1.050947074,0.036710865,11.81463634,0.316302839,0
1.317171436,1.834338518,1.376850653,0.857747317,6.119422858,0.289401252,0
1.70338066,1.752490763,1.195946151,0.751383434,9.790743775,0.571358671,1
1.582399048,1.210342492,1.901104879,0.626483152,11.18319935,0.2001997,0
1.64322623,1.026462133,1.733724676,0.554774286,11.03138465,0.575278204,1
1.640287845,1.244560739,1.078602782,0.845514432,2.523272486,0.235533755,1
1.918210001,1.833161388,1.519231553,0.996253364,4.598929675,0.702489096,1
1.472808213,1.883813338,1.299692409,0.558276623,11.07499114,0.914635234,0
1.184399744,1.145214246,1.745189287,0.954969044,5.459629025,0.254795709,0
1.33502734,1.091814722,1.705100057,0.495251081,8.800396824,0.21938013,0
1.03521152,1.512362343,1.580730755,0.349347969,4.585403796,0.346609256,0
1.86355798,1.691325813,1.652905383,0.345035001,7.62890881,0.486467961,1
1.710723463,1.186418747,1.257817802,0.495144107,6.158691618,0.39729287,1
1.863379298,1.412035088,1.842581753,0.528680962,10.9090614,0.761087542,1
1.873987141,1.360937296,1.485310281,0.871394219,8.690546034,0.398232599,1
1.217983792,1.260697062,1.61884166,0.501626401,3.894399141,0.490751541,0
1.060689795,1.546558113,1.194373919,0.929818707,8.341610153,0.756451398,0
1.505924032,1.488629435,1.311804722,0.536655064,7.232717784,0.607574874,0
1.517874291,1.449812225,1.112951625,0.032195869,6.796204119,0.188179432,0
1.786625596,1.289981328,1.942352052,0.412086837,2.884523935,0.186532296,1
1.057877351,1.7835765,1.480246731,0.639565511,7.745203062,0.19874528,0
1.104172263,1.232530456,1.021759595,0.914464267,7.290782934,0.349255566,0
1.419931067,1.378951787,1.818676974,0.36428396,8.432113575,0.386586275,0
1.955373197,1.419291352,1.94244145,0.100115485,3.252986785,0.772420063,1
1.872291034,1.356863123,1.325816136,0.724425358,8.665722549,0.70100631,1
1.955374988,1.662221824,1.034952309,0.478357924,6.368269069,0.505154626,1
1.825993128,1.868807718,1.917798496,0.096383535,2.287729267,0.025514331,1
1.33033772,1.762658536,1.958905058,0.093596338,3.110753152,0.731608799,0
1.139452041,1.424753915,1.008529787,0.419716863,11.99299125,0.059030778,0
1.135347129,1.848874496,1.200445323,0.333668506,6.501856186,0.264091851,0
1.605173521,1.620289078,1.134616986,0.711943613,3.126017824,0.758987532,1
1.033628394,1.443854405,1.924528537,0.969814524,7.601237406,0.021444364,0
1.039739137,1.086292168,1.973602694,0.768188779,11.22918008,0.099281379,0
1.323063995,1.260690738,1.979473558,0.052281738,3.266502308,0.57037286,0
1.013984479,1.974745318,1.683282896,0.383388056,2.628588067,0.84632543,0
1.386108668,1.542892375,1.109106702,0.00193145,3.374351889,0.063048106,0
1.749182116,1.758963976,1.66349035,0.076387953,4.384555906,0.145089313,1
1.52220072,1.313149687,1.3122123,0.671006997,8.752698705,0.932522528,0
1.713837107,1.751243353,1.638912417,0.301883468,5.194109413,0.263399961,1
1.767273337,1.320648383,1.125885051,0.348119672,9.001386436,0.093626256,1
1.858311541,1.02110872,1.419809285,0.315134822,5.364389022,0.194377794,1
1.99095405,1.167476617,1.054077163,0.378941481,10.3894658,0.190852597,1
1.710955088,1.912593785,1.279110506,0.830894433,4.875462127,0.985171586,1
1.344969028,1.502769557,1.577208772,0.240462731,10.36868529,0.968430478,0
1.111750612,1.642571753,1.140411764,0.521325724,2.312486949,0.713447789,0
1.667198543,1.280331038,1.208767528,0.647997816,10.80581465,0.959708068,1
1.138577876,1.165964688,1.626536536,0.903887729,11.84418064,0.699669796,0
1.296663242,1.40448927,1.131289901,0.093892371,8.3934564,0.604064549,0
1.995839271,1.213591547,1.885380935,0.300220126,10.31302855,0.251884365,1
1.854252601,1.135773687,1.866733675,0.391394346,7.204954978,0.60343209,1
1.946991136,1.596601457,1.610525935,0.24850977,7.240507953,0.841174839,1
1.77832917,1.606036108,1.405731651,0.519168149,8.144273137,0.403638998,1
1.436121497,1.917993008,1.816717685,0.858137902,1.94268384,0.51582855,0
1.877847329,1.315167584,1.104597149,0.094083492,6.705500701,0.527902414,1
1.627857156,1.575315963,1.872454984,0.751769267,8.031836397,0.746548146,1
1.186535255,1.324718582,1.963433932,0.522281124,6.850376854,0.548438846,0
1.056835209,1.022048966,1.832627193,0.021415417,10.97098571,0.839378614,0
1.614080724,1.049915824,1.753191941,0.451819133,7.869250877,0.800228997,1
1.165665148,1.241724033,1.154065116,0.465501283,2.291444788,0.304441295,0
1.088194788,1.695970116,1.368287816,0.057758733,7.223817278,0.995713287,0
1.428036221,1.01514017,1.478002144,0.803617798,0.407830129,0.815376998,0
1.085102564,1.526652436,1.709224143,0.031526167,0.558759116,0.88284528,0
1.488282281,1.746344522,1.599445813,0.051306939,6.756904249,0.963766376,0
1.446810162,1.717341371,1.716690615,0.17228329,9.108120755,0.209484406,0
1.956845246,1.540401215,1.247185647,0.98812064,5.063447572,0.649807844,1
1.899355912,1.834783065,1.510589588,0.584112077,5.292373558,0.05694769,1
1.448500433,1.341306564,1.478706604,0.080344161,1.945762439,0.40296736,0
1.714334778,1.385599543,1.924939052,0.401628033,11.11292357,0.334571119,1
1.187973852,1.811265185,1.980738668,0.489141606,3.8396159,0.329105938,0
1.568419451,1.308131685,1.094173403,0.380337412,10.37831043,0.013049081,0
1.627969246,1.089911889,1.662389932,0.159904548,5.76638868,0.789057518,1
1.648590646,1.457762015,1.303089558,0.140729596,0.941198971,0.274280771,1
1.868438159,1.964505462,1.845288217,0.406318881,6.98371278,0.872383296,1
1.86566837,1.039553838,1.355495345,0.268418065,6.054887649,0.443400605,1
1.801519354,1.09321618,1.827907896,0.611906018,10.90721638,0.134872296,1
1.154535213,1.545291827,1.909850759,0.205666798,2.337618919,0.411342178,0
1.824267088,1.413950991,1.721182136,0.06975802,7.471611608,0.642952609,1
1.197190462,1.421306506,1.311439752,0.138375998,7.05962791,0.933809137,0
1.187272052,1.532994961,1.088626659,0.332260112,7.083168089,0.688185013,0
1.908407877,1.132326085,1.544134895,0.854960797,10.6862618,0.727080406,1
1.568877004,1.6028147,1.850626502,0.169160839,4.523454325,0.50904082,0
1.353831507,1.771650345,1.221390149,0.30213298,0.703842591,0.530326689,0
1.49942789,1.647159596,1.936564536,0.91542351,10.90936919,0.127422087,0
1.827132009,1.573341269,1.46424396,0.160729455,0.484401726,0.508704816,1
1.472211618,1.43900332,1.900229778,0.075208632,0.626942144,0.599736987,0
1.148181808,1.145294968,1.882470093,0.820676509,7.150198738,0.096567223,0
1.626424865,1.416862986,1.909111421,0.63305714,6.300185573,0.215410309,1
1.037005308,1.052160522,1.75940111,0.620490212,10.93112187,0.156956422,0
1.334539146,1.678228666,1.677313497,0.021708824,11.40237638,0.36554446,0
1.644888754,1.325470023,1.102248523,0.96595335,10.26277938,0.277805159,1
1.23124575,1.542418058,1.24215891,0.312198526,1.368743545,0.473512395,0
1.13975184,1.296044056,1.850263311,0.406718222,11.36848519,0.25190033,0
1.069906831,1.639223023,1.170291322,0.218947465,9.562638785,0.566057034,0
1.735441505,1.699423144,1.923957857,0.39389123,8.933809635,0.431128237,1
1.942528331,1.913046095,1.074396636,0.611389075,4.826505261,0.034124462,1
1.234976271,1.590914278,1.672678822,0.447889135,4.673371014,0.238794186,0
1.99782196,1.230774631,1.113212836,0.622510051,8.069063273,0.457476931,1
1.721141873,1.68223238,1.374072615,0.913369538,7.327389824,0.358750124,1
1.465637425,1.6165077,1.124007156,0.529199208,6.948601487,0.418662762,0
1.518893011,1.185045843,1.276639145,0.206972031,1.5485653,0.045838232,0
1.204675121,1.63392941,1.331805006,0.945067739,9.043652822,0.506344614,0
1.607860196,1.077561715,1.634695348,0.23881618,6.499069435,0.846131575,1
1.695983433,1.408528931,1.45562207,0.444089741,5.461570725,0.656761325,1
1.852228134,1.648523111,1.79680354,0.517959566,0.351349092,0.523033419,1
1.770411331,1.188450528,1.216329667,0.404077162,11.28065171,0.322015921,1
1.264986691,1.435152441,1.998558119,0.182355908,11.78213071,0.790157222,0
1.177295552,1.496015022,1.888765344,0.082815541,3.155910568,0.281068552,0
1.463759584,1.541655392,1.661332795,0.252074724,3.68683835,0.665934332,0
1.130483655,1.564931919,1.854058341,0.071354778,7.121445694,0.759965354,0
1.699434294,1.164105224,1.895774531,0.663572811,10.73336798,0.220338345,1
1.621589001,1.576116788,1.122647586,0.764877512,4.767592046,0.728966843,1
1.611040374,1.892924707,1.292813915,0.005366739,4.483384402,0.118881564,1
1.441888104,1.572131378,1.028056228,0.246870826,5.988432057,0.011157291,0
1.986248555,1.619379298,1.976137133,0.694090513,3.437500035,0.989400359,1
1.895135119,1.908131081,1.074081001,0.283637602,10.53393735,0.727867625,1
1.416731847,1.756165091,1.777492065,0.939643027,0.261265816,0.002918808,0
1.075413621,1.553473189,1.738985012,0.906069617,3.389207378,0.079973962,0
1.495048827,1.166012553,1.717340941,0.921854226,10.56139302,0.723747062,0
1.52518462,1.584938082,1.782914698,0.312689643,7.131480769,0.318592991,0
1.566352117,1.166695635,1.630923693,0.921193542,10.8265924,0.083354354,0
1.201446197,1.760191042,1.144742322,0.665693563,3.191764153,0.63954969,0
1.89741698,1.062758388,1.011685103,0.664226598,3.347659538,0.330858316,1
1.116489914,1.492880603,1.158394959,0.122428247,11.47108406,0.267307313,0
1.968367825,1.481805481,1.838819654,0.551631027,8.812085065,0.064142816,1
1.306991313,1.652079725,1.229750097,0.296799009,6.623309237,0.534117019,0
1.050963044,1.802845348,1.47524828,0.860980736,7.3579092,0.439305064,0
1.938120509,1.905509597,1.161857467,0.694098371,9.955077236,0.167929131,1
1.950848706,1.55436273,1.591522319,0.811996559,6.989729046,0.852217541,1
1.45916116,1.888740152,1.98670803,0.382675001,11.07684083,0.937474782,0
1.199921603,1.119925188,1.296343019,0.497446194,10.06841298,0.749503657,0
1.028666664,1.254359837,1.041580603,0.626069689,10.68232701,0.545061836,0
1.174858807,1.59487825,1.046392482,0.319059409,5.160529974,0.755243283,0
1.016366644,1.465535377,1.34079405,0.316424307,11.42160376,0.601554878,0
1.833064388,1.830547304,1.801728839,0.092835676,9.035735757,0.937892858,1
1.119532123,1.343411685,1.761696164,0.510235431,5.905819839,0.395181712,0
1.345518212,1.482849749,1.862598581,0.612491504,3.737689023,0.190050932,0
1.201110776,1.636055717,1.658790256,0.674550016,3.618382187,0.46718832,0
1.096882709,1.379683258,1.418460211,0.744083464,6.345444533,0.518903106,0
1.033143566,1.973783025,1.544604167,0.018715892,2.889638431,0.222793764,0
1.029502752,1.186444934,1.710905658,0.646203671,10.23170263,0.725124528,0
1.617298495,1.627020923,1.504855476,0.21623622,2.09827032,0.915592434,1
1.369897349,1.99101522,1.220445868,0.976920862,11.35401217,0.603314074,0
1.721122977,1.48874225,1.585524303,0.214571882,4.824764566,0.705092703,1
1.790126197,1.492454148,1.087066021,0.421985855,2.594397038,0.909277303,1
1.769421364,1.678449914,1.922344463,0.328998831,6.107194505,0.828835811,1
1.061579004,1.901082499,1.602886735,0.707947829,8.703235241,0.195507894,0
1.323352181,1.052540238,1.696241504,0.790397471,10.97190038,0.895253402,0
1.635477455,1.405752395,1.141237246,0.499154,8.04298895,0.289729718,1
1.494334214,1.646480956,1.947715729,0.101603655,7.943018857,0.773782614,0
1.76983326,1.793027893,1.566205005,0.686156648,2.628282548,0.556728799,1
1.829797757,1.454853923,1.671242721,0.551405507,1.873852732,0.490061651,1
1.328726189,1.620956099,1.319006604,0.912130506,10.32873163,0.534919256,0
1.424106127,1.770349341,1.158137912,0.956729592,4.477295851,0.991829232,0
1.125600322,1.868416665,1.483321783,0.623267135,11.53607001,0.979773714,0
1.851657776,1.573051622,1.098874105,0.731905385,1.800526418,0.317380317,1
1.066717393,1.391305425,1.393352843,0.169569572,8.33330193,0.206038573,0
1.282207533,1.825092897,1.908258037,0.366708693,8.700181127,0.816578192,0
1.294115863,1.528854077,1.551448553,0.621620699,6.533648456,0.182195479,0
1.563015462,1.510123296,1.064523022,0.19885104,8.774536212,0.860948787,0
1.773123772,1.578992427,1.11404485,0.726202993,4.397860904,0.232552628,1
1.640028334,1.839178337,1.732603159,0.0187503,7.456407603,0.988795027,1
1.588088564,1.665403991,1.113570675,0.853093256,8.817169471,0.441157115,0
1.400760738,1.283908712,1.514815363,0.515718184,10.95791559,0.334132015,0
1.079432917,1.687655025,1.002606418,0.221535072,11.70845885,0.488134788,0
1.156204338,1.34411343,1.047647233,0.868138513,2.218880479,0.182613877,0
1.074290359,1.500243308,1.596355339,0.861309932,7.408664569,0.570426931,0
1.606985962,1.933996848,1.948337865,0.439045125,7.821235221,0.029436047,1
1.783956342,1.806957696,1.103751564,0.419448462,11.62836786,0.959380225,1
1.343545429,1.605074249,1.450211058,0.62858159,11.50792203,0.083047526,0
1.80019881,1.446014949,1.046872489,0.583659616,5.85712761,0.661397966,1
1.110323118,1.121233934,1.461717872,0.593795774,10.06132374,0.598790231,0
1.000600441,1.757040545,1.022323696,0.27597795,11.72897859,0.53638273,0
1.274319841,1.981313645,1.242151594,0.193676377,8.670674819,0.377130424,0
1.164835859,1.501203981,1.288675871,0.516372973,2.943983743,0.464586451,0
1.985790724,1.90447553,1.641283204,0.251232967,11.89155175,0.982340481,1
1.471832502,1.386811653,1.336323476,0.281864371,7.154033697,0.551787059,0
1.253020204,1.822908717,1.830890772,0.647776348,9.384497053,0.335567595,0
1.578988612,1.749948282,1.71362135,0.225172587,0.162837023,0.764365291,0
1.220015655,1.762510367,1.118956031,0.803703037,7.898058714,0.583476252,0
1.701060189,1.624557294,1.832779604,0.532130331,2.720756038,0.103002227,1
1.649565991,1.112132807,1.877379679,0.942679028,3.516616298,0.498645822,1
1.886563728,1.040941779,1.811998113,0.617399655,9.068529937,0.116692902,1
1.575786577,1.521031118,1.022478177,0.535390152,10.34449411,0.757161544,0
1.329164741,1.507718694,1.642147838,0.180025163,2.626156374,0.678608833,0
1.177256202,1.188440864,1.536902441,0.538045593,11.88744959,0.827185468,0
1.425882148,1.83254367,1.569433129,0.622099737,1.542331242,0.884329075,0
1.196907637,1.068239852,1.844225981,0.299595416,11.60846584,0.033963384,0
1.041706881,1.838529867,1.140929197,0.359969226,3.99407474,0.586185022,0
1.386802119,1.657341274,1.770859482,0.261070201,8.403435406,0.683435566,0
1.02004651,1.128888523,1.445408636,0.019749715,1.675039252,0.546746331,0
1.144125246,1.374129587,1.276683463,0.544537748,1.836385625,0.991048517,0
1.583023563,1.629225622,1.374389818,0.452942068,8.569509418,0.701218316,0
1.344598358,1.497483871,1.585878828,0.313613999,8.236435321,0.371428197,0
1.707744176,1.406233928,1.961618905,0.230077496,11.55369979,0.043990172,1
1.609799422,1.88892545,1.295056941,0.486468385,4.80139111,0.677755498,1
1.373750369,1.303868306,1.169331544,0.967395052,6.021839815,0.406675427,0
1.075581663,1.42717891,1.884036156,0.155804292,8.467194858,0.365826735,0
1.356695589,1.856228504,1.029259402,0.32739535,10.74168298,0.791184104,0
1.650316917,1.938624339,1.762549621,0.577561049,8.238385601,0.873494644,1
1.422189935,1.398144707,1.087804099,0.393505313,1.825000081,0.860010749,0
1.957688417,1.233763266,1.65541886,0.441256061,0.180329304,0.266812694,1
1.216266078,1.615229433,1.277363975,0.017167896,6.668842076,0.836205788,0
1.467662229,1.819012047,1.993725682,0.266275253,9.364220423,0.495833589,0
1.11908586,1.934814969,1.361313552,0.722994831,10.72623145,0.091230195,0
1.577720554,1.462672631,1.639300634,0.95004719,3.166879625,0.4757841,0
1.878588437,1.154036842,1.360660952,0.603890014,2.890140946,0.998113841,1
1.620101644,1.678553385,1.058185303,0.25553346,11.50978008,0.185050024,1
1.191746936,1.162006985,1.805289276,0.618826906,10.55037284,0.336239705,0
1.595482225,1.465239006,1.474525948,0.185831694,4.555862703,0.40876362,0
1.578761117,1.857265937,1.388889233,0.668291831,10.87109747,0.116633742,0
1.308534098,1.2656221,1.73985502,0.150146127,0.055793672,0.637878579,0
1.770873953,1.757367275,1.735539261,0.83824164,1.623566468,0.887108057,1
1.837244506,1.388230462,1.294749184,0.802142853,1.975281625,0.859233281,1
1.435710274,1.922973386,1.334964038,0.832918311,6.4416945,0.345652485,0
1.222993377,1.623951242,1.607340365,0.045587481,0.536255579,0.818018993,0
1.790800345,1.346563193,1.766571829,0.919292608,5.252641343,0.623878583,1
1.793932091,1.215309739,1.379985543,0.873151623,2.926705278,0.21339824,1
1.159635853,1.293301185,1.133725357,0.941956259,0.040071913,0.688006526,0
1.734178004,1.583187096,1.031568809,0.602644419,5.207890013,0.57073028,1
1.500881559,1.663777911,1.44858201,0.346340322,8.665121641,0.230182312,0
1.748125071,1.78652705,1.567125311,0.062598426,3.934570766,0.293445736,1
1.691826887,1.197944718,1.486778297,0.732074636,6.797884469,0.153298788,1
1.119272973,1.744012754,1.856798936,0.961518695,11.09094873,0.041111218,0
1.364908259,1.915103091,1.158110359,0.78354662,1.115885543,0.927662079,0
1.517056499,1.117374908,1.337359036,0.556277893,8.928945074,0.451388434,0
1.079175869,1.309857961,1.123977641,0.91092765,10.83767719,0.461392518,0
1.224188007,1.949869311,1.840608878,0.544874835,11.9545947,0.73790395,0
